ngram,logP(Spam),logP(Non-Spam),logOdds(Spam-Ham)
 i ,-9.806138303286122,-6.86677032052906,-2.9393679827570622
...,-9.640047464982237,-6.775751724245742,-2.8642957407364946
.. ,-10.143399971878768,-7.307693001894817,-2.835706969983951
'm ,-10.425046005553991,-7.69279292254536,-2.732253083008631
i'm,-10.425046005553991,-7.69279292254536,-2.732253083008631
i'm ,-10.425046005553991,-7.69279292254536,-2.732253083008631
... ,-10.128566834753375,-7.441061668572648,-2.6875051661807268
here,-10.425046005553991,-7.75881830396388,-2.6662277015901115
 i',-10.425046005553991,-7.7613996803483465,-2.6636463252056446
my ,-10.085813723679713,-7.4390332040549225,-2.646780519624791
whe,-10.425046005553991,-7.852507496794786,-2.572538508759205
 my,-10.078232301199407,-7.520488274248431,-2.5577440269509752
 my ,-10.078232301199407,-7.525591092365541,-2.5526412088338652
i w,-10.120565655760723,-7.683093119604592,-2.4374725361561307
not ,-10.425046005553991,-8.035160712531525,-2.3898852930224663
 me ,-10.06004038635562,-7.671726411898103,-2.3883139744575175
oing,-10.425046005553991,-8.049475995318737,-2.375570010235254
here ,-10.425046005553991,-8.051670472106949,-2.3733755334470423
 whe,-10.425046005553991,-8.108918639036883,-2.316127366517108
oing ,-10.425046005553991,-8.111604848251288,-2.3134411573027034
 some,-10.425046005553991,-8.13066666161609,-2.2943793439379014
 som,-10.425046005553991,-8.13066666161609,-2.2943793439379014
&gt;,-10.425046005553991,-8.147189304707329,-2.2778567008466624
gt;,-10.425046005553991,-8.147189304707329,-2.2778567008466624
&gt,-10.425046005553991,-8.147189304707329,-2.2778567008466624
